gbifID,institutionCode,catalogNumber,kingdom,phylum,class,order,family,genus,species,lon,lat,year,country,region
2750974389,CLO,OBS727660156,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.64537,17.73477,2019,Belize,Orange Walk
2751710848,CLO,OBS724013445,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.29612,18.290077,2019,Belize,Corozal
2751989145,CLO,OBS721400968,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.13498,18.342598,2019,Belize,Corozal
2754171101,CLO,OBS721398784,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.13498,18.342598,2019,Belize,Corozal
2755292909,CLO,OBS720682146,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.135155,18.342451,2019,Belize,Corozal
2755385823,CLO,OBS731732956,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2755511038,CLO,OBS729094435,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.35541,18.321535,2019,Belize,Corozal
2755722747,CLO,OBS718311019,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.27575,18.261652,2019,Belize,Corozal
2755732137,CLO,OBS729070466,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.12799,18.355267,2019,Belize,Corozal
2757500926,CLO,OBS734555660,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.557465,17.700964,2019,Belize,Belize
2758162209,CLO,OBS729139827,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.12799,18.355267,2019,Belize,Corozal
2761904368,CLO,OBS717347124,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.147644,18.331348,2019,Belize,Corozal
2763372112,CLO,OBS727552812,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.64868,17.702276,2019,Belize,Orange Walk
2763439380,CLO,OBS724954191,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.53427,17.771248,2019,Belize,Belize
2763742267,CLO,OBS722569281,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.13498,18.342598,2019,Belize,Corozal
2764191421,CLO,OBS729816278,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.64868,17.702276,2019,Belize,Orange Walk
2766799125,CLO,OBS729683085,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2770867992,CLO,OBS721833845,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.13498,18.342598,2019,Belize,Corozal
2775742971,CLO,OBS800025146,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2778869123,CLO,OBS729139529,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.35541,18.321535,2019,Belize,Corozal
2786844906,CLO,OBS734555124,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.52973,17.766958,2019,Belize,Belize
2788129670,CLO,OBS901175448,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.29133,17.742365,2019,Guatemala,Petén
2795581882,CLO,OBS901171070,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.295616,17.745686,2019,Guatemala,Petén
2797550932,CLO,OBS901128754,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.30205,17.748318,2019,Guatemala,Petén
2797891420,CLO,OBS901136223,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.29245,17.743847,2019,Guatemala,Petén
2798334705,CLO,OBS901139235,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.28824,17.740217,2019,Guatemala,Petén
2801179855,CLO,OBS844549240,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
3213607149,CLO,OBS1056231627,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.65209,17.764627,2019,Belize,Orange Walk
3415373344,iNaturalist,25094548,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-90.740237,18.324025,2019,Mexico,Campeche
2237475427,iNaturalist,22851308,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-87.164135,20.800135,2019,Mexico,Quintana Roo
2663456821,CLO,OBS733978197,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.65186,17.741182,2019,Belize,Orange Walk
2663456995,CLO,OBS734077187,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2665221556,CLO,OBS734324994,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2665347445,CLO,OBS736993708,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.541626,17.357641,2019,Belize,Belize
2665743993,CLO,OBS739079049,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.48015,17.774971,2019,Belize,Belize
2667723905,CLO,OBS737724278,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2668007711,CLO,OBS740383393,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.541626,17.357641,2019,Belize,Belize
2668530226,CLO,OBS737514881,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2668726554,CLO,OBS738133270,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.773476,17.86994,2019,Belize,Orange Walk
2669045006,CLO,OBS737869593,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2669381231,CLO,OBS741638026,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.66625,17.760681,2019,Belize,Orange Walk
2670096393,CLO,OBS745165962,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.18315,18.317879,2019,Belize,Corozal
2672009817,CLO,OBS746918418,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.653915,17.751793,2019,Belize,Orange Walk
